,words,ner_tags,bio
175,"['the', 'reproductive', 'cycle', 'for', 'panda', 'is', 'a', 'tad', 'on', 'the', 'slow', 'side', '..', 'mature', 'female', 'will', 'breed', 'once', 'every', 'two', 'or', 'three', 'year', 'in', 'the', 'wild', 'she', 'will', 'have', 'around', '5', 'litter', 'in', 'her', 'lifetime']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
176,"['giant', 'panda', 'have', 'been', 'with', 'u', 'for', 'a', 'very', 'very', 'long', 'time', '..', 'panda', 'fossil', 'have', 'been', 'found', 'that', 'date', 'back', 'between', '2', 'and', '3', 'million', 'year']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
177,"['the', 'meaning', 'of', 'the', 'panda', 'scientific', 'name', 'pretty', 'much', 'describes', 'the', 'creature', '..', 'ailuropoda', 'melanoleuca', 'translates', 'to', 'mean', '“', 'black', 'and', 'white', 'cat', 'foot', '”', 'and', 'that', 'sort', 'of', 'paint', 'a', 'picture', 'for', 'you', 'of', 'what', 'a', 'panda', 'may', 'appear', 'a', 'if', 'you', 'had', 'never', 'seen', 'one', 'before']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
178,"['giant', 'panda', 'do', 'not', 'take', 'a', 'winter', 'nap', '..', 'the', 'giant', 'panda', 'is', 'one', 'of', 'the', 'few', 'specie', 'of', 'bear', 'that', 'do', 'not', 'hibernate', 'in', 'winter', 'instead', 'they', 'will', 'move', 'from', 'their', 'high', 'elevation', 'home', 'to', 'warmer', 'area', 'in', 'lower', 'elevation', 'in', 'order', 'to', 'continue', 'to', 'enjoy', 'bamboo']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
179,"['panda', 'were', 'a', 'mystery', 'to', 'scientist', 'for', 'quite', 'some', 'time', '..', 'the', 'giant', 'panda', 'wa', 'a', 'bit', 'of', 'a', 'puzzle', 'for', 'scientist', 'who', 'were', 'not', 'certain', 'if', 'they', 'were', 'actually', 'a', 'type', 'of', 'raccoon', 'bear', 'or', 'maybe', 'a', 'distinctly', 'different', 'specie', 'of', 'animal', 'altogether', 'the', 'dna', 'contained', 'in', 'the', 'cell', 'of', 'the', 'panda', 'unlocked', 'clue', 'that', 'solved', 'the', 'mystery', 'a', 'the', 'genetic', 'code', 'showed', 'scientist', 'that', 'panda', 'are', 'related', 'to', 'bear']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","['B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O']"
180,"['the', 'black', 'market', 'fur', 'trade', 'ha', 'a', 'high', 'price', 'on', 'giant', 'panda', 'fur', '..', 'the', 'illegal', 'trade', 'market', 'a', 'panda', 'fur', 'can', 'fetch', 'between', '60,000', 'and', '100,000']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
181,"['giant', 'panda', 'start', 'life', 'pink', '..', 'when', 'first', 'born', 'a', 'panda', 'cub', 'ha', 'pink', 'skin', 'is', 'about', '15cm', 'in', 'size', 'and', 'is', 'covered', 'with', 'a', 'very', 'thin', 'coat', 'of', 'white', 'fur', 'it', 'also', 'ha', 'a', 'long', 'tail', 'no', 'teeth', 'and', 'it', 'eye', 'are', 'closed', 'in', 'a', 'month', 'that', 'cub', 'will', 'have', 'most', 'of', 'it', 'black', 'spot', 'and', 'it', 'eye', 'will', 'open', 'in', 'the', 'following', 'couple', 'of', 'week', 'by', 'the', 'time', 'the', 'cub', 'reach', '14', 'week', 'of', 'age', 'it', 'teeth', 'will', 'start', 'to', 'appear', 'at', 'this', 'point', 'both', 'the', 'cub', 'and', 'it', 'mother', 'will', 'use', 'their', 'den', 'less', 'frequently']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
182,"['panda', 'mother', 'and', 'cub', 'stick', 'together', '–', 'for', 'a', 'while', '..', 'the', 'cub', 'will', 'not', 'leave', 'the', 'family', 'unit', 'until', 'it', 'is', 'about', 'a', 'year-and-a-half', 'old', 'at', 'that', 'time', 'it', 'will', 'go', 'off', 'on', 'it', 'own', 'and', 'assume', 'a', 'solitary', 'life', 'that', 'typically', 'all', 'panda', 'live']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","['B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O']"
183,"['panda', 'make', 'a', 'lot', 'of', 'different', 'noise', '..', 'these', 'bear', 'do', 'not', 'roar', 'but', 'they', 'are', 'fairly', 'vocal', 'otherwise', 'in', 'addition', 'to', 'sound', 'that', 'resemble', 'those', 'of', 'a', 'baby', 'goat', 'or', 'lamb', 'a', 'panda', 'can', 'growl', 'bark', 'huff', 'and', 'honk']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","['B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O']"
184,"['the', 'panda', 'ha', 'a', 'relatively', 'large', 'repertoire', '..', 'researcher', 'have', 'been', 'able', 'to', 'clearly', 'identify', 'a', 'total', 'of', '11', 'different', 'panda', 'call', 'they', 'even', 'say', 'that', 'four', 'of', 'them', 'are', 'reserved', 'for', 'when', 'the', 'panda', 'is', 'seeking', 'a', 'mate']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","['O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O']"
185,"['the', 'panda', 'is', 'a', 'symbol', 'of', 'peace', 'and', 'friendship', 'in', 'china', '..', 'hundred', 'of', 'year', 'ago', 'in', 'time', 'of', 'war', 'tribe', 'would', 'raise', 'a', 'flag', 'with', 'a', 'panda', 'on', 'it', 'to', 'stop', 'a', 'battle', 'and', 'call', 'a', 'truce']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
186,"['the', 'panda', 'is', 'a', 'highly', 'recognizable', 'symbol', '..', 'the', 'world', 'wildlife', 'fund', 'chose', 'the', 'panda', 'a', 'their', 'logo', 'because', 'of', 'the', 'peaceful', 'nature', 'of', 'the', 'bear']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
187,"['there', 'wa', 'also', 'a', 'hidden', 'reason', 'for', 'the', 'wwf', 'to', 'pick', 'the', 'panda', 'a', 'their', 'logo/brand', '..', 'the', 'black', 'and', 'white', 'color', 'of', 'the', 'panda', 'ensured', 'that', 'printing', 'cost', 'would', 'be', 'minimal', 'a', 'there', 'would', 'be', 'no', 'color', 'required']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
188,"['of', 'the', 'two', 'specie', 'of', 'gorilla', 'each', 'ha', 'two', 'lowland', 'and', 'upland', 'subspecies', '..', 'the', 'western', 'gorilla', 'is', 'split', 'into', 'two', 'different', 'subspecies', 'including', 'the', 'cross', 'river', 'gorilla', 'and', 'the', 'western', 'lowland', 'gorilla', 'the', 'eastern', 'gorilla', 'specie', 'includes', 'the', 'mountain', 'gorilla', 'and', 'eastern', 'lowland', 'or', 'grauer', '’', 's', 'gorilla']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]","['O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN']"
189,"['the', 'two', 'subspecies', 'have', 'very', 'different', 'habitat', '..', 'the', 'gorilla', 'is', 'mostly', 'restricted', 'to', 'country', 'in', 'central', 'sub-saharan', 'africa', 'but', 'the', 'various', 'subspecies', 'live', 'in', 'different', 'elevation', 'the', 'mountain', 'gorilla', 'are', 'known', 'to', 'inhabit', 'higher', 'elevation', 'up', 'to', '4,300', 'metre', 'above', 'sea', 'level', 'the', 'lowland', 'specie', 'tend', 'to', 'stay', 'near', 'the', 'valley', 'floor', 'in', 'the', 'thick', 'rain', 'forest', 'on', 'the', 'atlantic', 'coast', 'of', 'africa']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
190,"['of', 'the', 'various', 'subspecies', 'of', 'gorilla', 'two', 'have', 'small', 'population', 'left', 'on', 'the', 'planet', '..', 'the', 'cross', 'river', 'gorilla', 'contains', 'about', '250', 'animal', 'still', 'in', 'the', 'wild', 'restricted', 'to', 'a', 'small', 'border', 'area', 'between', 'nigeria', 'and', 'cameroon', 'making', 'them', 'the', 'world', 'rarest', 'ape', 'the', 'mountain', 'gorilla', 'is', 'also', 'severely', 'endangered', 'with', 'an', 'estimated', '880', 'still', 'alive', 'today', 'there', 'are', 'estimate', 'of', 'fewer', 'than', '5,000', 'eastern', 'lowland', 'gorilla', 'and', 'over', '100,000', 'western', 'lowland', 'gorilla', 'in', 'existence', '1']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O']"
191,"['gorilla', 'are', 'the', 'largest', 'primate', 'with', 'the', 'tallest', 'silverback', 'recorded', 'at', 'over', '6ft', '5in', 'and', 'heaviest', 'at', 'over', '590', 'pound', '265', 'kg', '..', 'that', 'is', 'roughly', '3', 'time', 'heavier', 'than', 'an', 'average', 'man', 'when', 'their', 'height', 'is', 'somewhat', 'similar', 'this', 'indicates', 'just', 'how', 'broad', 'and', 'muscly', 'gorilla', 'are']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","['B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O']"
192,"['gorilla', 'are', 'fast', '..', 'if', 'you', 'were', 'to', 'be', 'chased', 'by', 'a', 'gorilla', 'you', 'better', 'have', 'wheel', 'underneath', 'you', 'a', 'they', 'can', 'reach', 'speed', 'of', 'over', '20', 'mile', 'per', 'hour', 'with', 'a', 'top', 'speed', 'clocked', 'at', '25', 'mph']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
193,"['they', 'are', 'highly', 'intelligent', 'and', 'can', 'learn', 'word', '..', 'evidence', 'of', 'this', 'come', 'from', 'koko', 'a', 'gorilla', 'that', 'wa', 'born', 'in', 'captivity', 'that', 'wa', 'taught', 'sign', 'language', 'and', 'had', 'a', 'vocabulary', 'of', 'about', 'one', 'thousand', 'sign', 'by', 'the', 'age', 'of', '40', 'she', 'also', 'understood', 'about', '2,000', 'word', 'in', 'english', '2']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
194,"['mountain', 'gorilla', 'are', 'generally', 'larger', 'with', 'longer', 'darker', 'hair', 'and', 'tend', 'to', 'have', 'shorter', 'arm', 'than', 'their', 'lowland', 'gorilla', 'cousin', '..', 'they', 'also', 'generally', 'have', 'a', 'larger', 'nose', 'and', 'jaw', 'and', 'teeth', 'too']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
195,"['gorilla', 'move', 'around', 'by', 'knuckle-walking', '..', 'this', 'is', 'when', 'they', 'rely', 'on', 'their', 'knuckle', 'or', 'other', 'part', 'of', 'their', 'hand', 'to', 'walk', 'and', 'shift', 'location']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
196,"['gorilla', 'live', 'in', '‘', 'troop', '’', '..', 'a', '‘', 'troop', '’', 'is', 'a', 'group', 'of', 'up', 'to', 'thirty', 'gorilla', 'which', 'often', 'consistent', 'of', 'a', 'dominate', 'male', 'gorilla', 'a', 'handful', 'of', 'female', 'and', 'their', 'immature', 'offspring']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","['B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
197,"['gorilla', 'have', 'a', 'fairly', 'long', 'lifespan', '..', 'gorilla', 'can', 'live', 'generally', 'between', '35', 'and', '40', 'year', 'in', 'the', 'wild', 'those', 'who', 'are', 'kept', 'in', 'zoo', 'fair', 'better', 'and', 'can', 'live', 'for', '50', 'or', 'more', 'year', 'one', 'female', 'gorilla', 'in', 'a', 'zoo', 'in', 'the', 'united', 'state', 'lived', 'to', '60', 'year', 'of', 'age']","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
198,"['gorilla', 'stand', 'in', 'similar', 'height', 'a', 'human', '..', 'an', 'adult', 'male', 'gorilla', 'will', 'stand', 'between', '5-feet', '7-inches', 'to', '6-feet', 'tall', 'female', 'are', 'slightly', 'shorter']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
199,"['gorilla', 'arm', 'span', 'is', 'significantly', 'longer', 'than', 'their', 'body', 'height', '..', 'the', 'arm', 'span', 'of', 'an', 'average', 'adult', 'male', 'gorilla', 'is', 'between', '7-feet', '7-inches', 'and', '8-feet', '6-inches', 'the', 'female', 'arm', 'span', 'is', 'somewhat', 'less', 'than', 'that', 'this', 'is', 'in', 'comparison', 'to', 'the', 'average', 'human', 'male', 'arm', 'span', 'which', 'is', 'usually', 'around', '1-5cm', 'longer', '3']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
200,"['they', 'rarely', 'go', 'ape', 'about', 'anything', '..', 'gorilla', 'are', 'considered', 'to', 'be', 'peaceful', 'creature', 'however', 'there', 'are', 'time', 'when', 'a', 'younger', 'male', 'will', 'challenge', 'a', 'more', 'mature', 'one', 'they', 'will', 'typically', 'just', 'make', 'a', 'lot', 'of', 'noise', 'beating', 'chest', 'baring', 'teeth', 'charging', 'forward', 'and', 'waving', 'stick', 'until', 'one', 'back', 'down']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
